ticker,date,coname,exec,dep_code,year,car_0_2,car_0_5,car_3_20,car_full,alpha,beta,n_est,n_evt
ALK,1995-02-09,ALASKA AIR GROUP INC,Raymond J. Vecci,3,1995,0.04206721753348626,0.0015415374787955474,-0.115443499275088,-0.098537004595581,-0.0002524061233787803,1.1936321609049516,130,26
DLX,1995-05-01,DELUXE CORP,Harold V. Haverty,3,1995,0.00740741281466845,-0.015059690394667717,0.0187390390282292,0.029708498512084545,-0.00029284348758387084,0.5026000988028444,130,26
SPXC,1995-10-19,SPX CORP,Edmund M. Carpenter,3,1995,-0.0034342621098693224,-0.008129548469464919,0.0870994192922962,0.11123880647199505,-0.0006501826377111877,0.682559612747799,130,26
AAPL,1996-02-02,APPLE INC,Michael H. Spindler,3,1996,0.03962216879877721,-0.03270798718965017,-0.052968728661631034,-0.09827544548936551,-0.004035843625308929,1.3096360314180562,130,26
UIS,1996-11-01,EPRESENCE INC,David C. Mahoney,3,1996,-0.013746805950874269,-0.0570795768449526,0.11928901728491884,0.04272863284172639,0.000484445313386909,0.9784696389374021,130,26
DGII,1996-12-31,DIGI INTERNATIONAL INC,Ervin F. Kamm Jr.,4,1996,0.06542694322190096,0.030112014978034903,-0.07381949055851071,-0.1994233722484576,-0.005095413629615131,1.3369614215600745,130,26
ADM,1997-04-17,ARCHER-DANIELS-MIDLAND CO,Dwayne O. Andreas,4,1997,0.034091109201829846,0.045204653653940434,0.019159994521238188,0.03974941160508211,-0.0007548803890303991,0.8316880610851567,130,26
AAPL,1997-07-08,APPLE INC,Gilbert F. Amelio,3,1997,-0.03339427645639159,0.163542712315567,0.4519963321713353,0.3617979184038778,-0.002861442187930532,0.5109938060533926,130,26
CAR,1997-12-17,AVIS BUDGET GROUP INC,Walter A. Forbes,4,1997,0.06372469138534635,0.037375363452814336,0.013221747546692461,0.0707604103734898,0.0007223090115447907,1.1086018228502068,130,26
FCX,1998-01-01,FREEPORT MCMORAN INC,Rene L. Latiolais,4,1998,-0.005626022750999176,-0.0559017466932353,-0.0007028973902015231,0.037335221580647275,-0.0029115908377214633,0.35148739827119097,130,26
ETR,1998-05-27,ENTERGY CORP,Edwin Lupberger,3,1998,0.10344194826590233,0.13204763597049207,0.06908685840886934,0.14279795540930013,0.00016333972037043098,0.3896048276666507,130,26
BIIB,1998-12-22,BIOGEN INC-OLD,James R. Tobin,3,1998,-0.08286892951422901,-0.03862755123081102,0.1018879387274921,0.07009747076904509,0.0002858971490413009,1.2337892084551225,130,26
ARW,1999-06-01,ARROW ELECTRONICS INC,Stephen P. Kaufman,3,1999,0.012957079220998565,0.0039058199876124827,0.060152357485508665,0.023805936780308234,-0.0003004914465612161,0.5472531624974452,130,26
NUE,1999-06-02,NUCOR CORP,John D. Correnti,3,1999,-0.1140886679774708,-0.11036722249938032,-0.022603292363487952,-0.1819762347380112,0.002002359603554111,0.4170291499260651,130,26
HUM,1999-08-01,HUMANA INC,Gregory H. Wolf,3,1999,-0.06444765142280685,-0.054809936555226174,-0.03003124732314223,-0.1919354213232716,-0.002618913607719271,0.2260643274084613,130,26
DXLG,1999-10-20,DESTINATION XL GROUP INC,Joel H. Reichman,3,1999,-0.186188668185176,-0.13321049708954733,0.2307371231023959,0.019388546761744743,3.428001603693431e-05,0.12226235746689429,130,26
IFF,1999-12-14,INTL FLAVORS & FRAGRANCES,Eugene P. Grisanti,3,1999,0.012625821165821303,0.03484457607140562,0.033269379278159254,-0.016081515560159947,-0.00021288210617554867,0.4945790166627314,130,26
MAT,2000-02-03,MATTEL INC,Jill E. Barad,3,2000,-0.09212515617515314,-0.11186932496413074,0.055923922078425975,0.05995376679737889,-0.00439433291458465,0.26276895427117625,130,26
KO,2000-02-17,COCA-COLA CO,M. Douglas Ivester,3,2000,-0.021091226287471253,-0.0747584706451571,-0.0877137057423825,-0.16162119355173105,0.00028298581534986307,0.5393151042071866,130,26
AET,2000-02-25,AETNA INC,Richard L. Huber,4,2000,0.020340597519193464,0.31658473192091385,0.38082014796579094,0.4078593463916262,-0.0030204259072580176,0.3999042252971649,130,26
CPB,2000-03-22,CAMPBELL SOUP CO,Dale F. Morrison,3,2000,-0.0345106410637106,-0.033073542335750945,0.03912618778156654,0.07582744925414556,-0.0030413741027399393,0.7603639575107206,130,26
PG,2000-06-08,PROCTER & GAMBLE CO,Durk I. Jager,3,2000,-0.06750587581895143,-0.06686448519130798,0.020938794806187183,-0.1266272155195038,-0.003428933655386528,0.7255970980750774,130,26
NWL,2000-10-31,NEWELL BRANDS INC,John J. McDonough,3,2000,0.009438404296261893,0.014677726430515983,0.04554637393407998,-0.08352226389142269,7.958373656266199e-05,0.4688060241706548,130,26
ATI,2000-12-06,ALLEGHENY TECHNOLOGIES INC,Thomas A. Corcoran,3,2000,-0.08111778218217239,-0.08743523468810456,-0.18978453220939462,-0.27309757030541726,-0.0014961182180447253,0.35396446367245815,130,26
KEY,2001-02-01,KEYCORP,Robert W. Gillespie,3,2001,0.008815105508175764,-0.00496395808774479,0.019209391085609775,-0.002414558311456396,0.0039005126177229037,0.7942866450123681,130,26
MPS,2001-03-01,MPS GROUP INC,Derek E. Dewan,3,2001,-6411.983253363836,-12628.390090292312,116082.29070105952,98826.71452710556,2141.876212640069,-11192.268966591275,130,26
SNA,2001-04-01,SNAP-ON INC,Robert A. Cornog,3,2001,0.02583277248382672,0.03278502212200079,-0.10145001186312633,-0.08942477803179466,0.001025591026076996,0.7357042257520388,130,26
HON,2001-07-03,HONEYWELL INTERNATIONAL INC,Michael R. Bonsignore,3,2001,0.09395190705838208,0.11387764237134652,-0.007187653350355091,0.02133998706228327,0.000951879126999508,1.5452851309756277,130,26
F,2001-10-30,FORD MOTOR CO,Jacques A. Nasser,3,2001,0.022408008237789646,0.0013665807369980989,0.10542373146492198,0.1330059842588279,-0.0027948611291521617,0.9488885034612461,130,26
GRB,2001-11-29,GERBER SCIENTIFIC INC,Michael J. Cheshire,3,2001,0.07078894282596745,0.06919338905781947,0.01644858482197179,0.0456680693225401,-0.0004659702987145761,0.6134610159468671,130,26
TWX,2002-05-16,TIME WARNER INC,Gerald M. Levin,3,2002,0.03599032724046259,0.015738715006885992,0.01031007943816323,0.09867751108632643,-0.003309319828216385,1.4953072155130802,130,26
CMS,2002-05-24,CMS ENERGY CORP,William T. McCormick Jr.,4,2002,0.03287996735451165,0.026105876706166396,-0.26143542046272517,-0.07435673290026365,-0.0001969684133584869,0.4087373327604757,130,26
JCI,2002-06-03,TYCO INTERNATIONAL PLC,L. Dennis Kozlowski,4,2002,-0.14360301117549082,-0.4257697323482886,0.19211010486811902,0.03117454175306085,-0.005321638273399239,2.055795163568629,130,26
AES,2002-06-18,AES CORP,Dennis W. Bakke,3,2002,0.026755940729671496,-0.07688537747947768,-0.11336811271342441,0.2033791387042444,-0.0036813164646322155,2.0344723341742705,130,26
WTS,2002-08-07,WATTS WATER TECHNOLOGIES INC,Timothy P. Horne,4,2002,-0.016249564559073334,-0.046454243517748274,-0.13968530182015398,-0.14608961270349777,0.0035946043276206797,0.6923485274810236,130,26
CNP,2002-09-30,CENTERPOINT ENERGY INC,R. Steve Letbetter,3,2002,0.24552769325608687,0.24315019491465725,-0.30721276932602615,-0.12038187447131521,0.00018204781982287486,0.39184360285965075,130,26
WSM,2003-01-09,WILLIAMS-SONOMA INC,Dale W. Hilpert,3,2003,-0.16753106778143645,-0.08920974826467859,0.06782998914284168,-0.11923967188322716,0.0008636836549564893,1.3736732284420667,130,26
SLB,2003-02-01,SCHLUMBERGER LTD,D. Euan Baird,3,2003,0.02677636720214086,0.030905763999693643,0.10018412314439393,0.14783868365656466,8.302691693388444e-05,1.1388210978683062,130,26
UNM,2003-03-31,UNUM GROUP,J. Harold Chandler,3,2003,0.016025370217502107,0.022960721378644387,0.12133387737384105,0.2873134292913724,-0.0029230618102694074,1.212900961330362,130,26
THC,2003-05-26,TENET HEALTHCARE CORP,Jeffrey C. Barbakow,3,2003,0.08545414692557385,0.07585538172791476,-0.18670266688644774,-0.08883252366895224,-0.007343984766456766,0.7785646196321295,130,26
CENX,2003-10-15,CENTURY ALUMINUM CO,Gerald A. Meyers,3,2003,-0.10438198467567701,-0.14876686190171332,0.24234795635990836,0.16598753832514715,0.0037207439548219627,0.9084531101957029,130,26
IP,2003-10-31,INTL PAPER CO,John T. Dillon,3,2003,-0.008075043464087332,-0.046451451398361,-0.01785108914805647,-0.029751510208845512,-0.00019683416646748314,1.0551724692851612,130,26
DUK,2003-11-01,DUKE ENERGY CORP,Richard B. Priory,3,2003,-0.011378250755366163,-0.027221610837216057,0.004302165876062044,-0.035624401839195796,0.0006027602767107046,0.8984778302017498,130,26
FSS,2003-12-01,FEDERAL SIGNAL CORP,Joseph J. Ross,4,2003,0.012490385242702903,0.04378126741266741,0.1506793774509193,0.14350756487913752,-0.0020215876169337216,1.1879184226016666,130,26
BA,2003-12-01,BOEING CO,Philip M. Condit,3,2003,-0.009118026060504901,-0.002971334531677708,0.013088753955068314,-0.05912394483798841,0.0015150023885615485,1.3142321037960787,130,26
BEN,2003-12-31,FRANKLIN RESOURCES INC,Charles B. Johnson,4,2003,0.0067803454355168085,0.01140089297708996,0.0558699016407791,0.06063555548843076,0.001155395633440392,1.2616340739306702,130,26
AEP,2004-01-01,AMERICAN ELECTRIC POWER CO,E. Linn Draper Jr.,3,2004,-0.0070187301920678225,0.013082381099548925,0.06939191140318929,0.06397135742423854,-0.0005045349016391096,0.7512747720201391,130,26
MSI,2004-01-05,MOTOROLA SOLUTIONS INC,Christopher B. Galvin,3,2004,0.009091858169345067,0.07335319087210772,0.02736909335679008,0.0629502694056554,0.0030158303479435444,1.2744592593590909,130,26
BAX,2004-04-26,BAXTER INTERNATIONAL INC,Harry M. Jansen Kraemer Jr.,3,2004,-0.027529844280482895,-0.018193311422747428,0.013573696850330417,0.03731748868393898,-0.00024767399012271603,0.9541739630225129,130,26
REY,2004-07-07,REYNOLDS & REYNOLDS -CL A,Lloyd G. Waterhouse,4,2004,0.0047857268944534945,0.015733269522075228,0.056207468844882716,0.0399659542149481,0.0006104061482175735,0.4104929877627566,130,26
VZ,2004-09-25,BELL INDUSTRIES INC,Tracy A. Edwards,3,2004,-0.010109117656364436,-0.01949050425068955,-0.017731578938971804,-0.02414701443657999,0.0007448950208246167,0.6151871253436575,130,26
SNA,2004-11-01,SNAP-ON INC,Dale F. Elliott,3,2004,0.01165704527257972,0.01363592531053197,0.05055258791665619,0.06893474612464404,-0.0007565933070170557,0.9337128350198763,130,26
SPXC,2004-12-08,SPX CORP,John B. Blystone,3,2004,-0.018728330545417254,-0.009193939122939063,-0.025159457130276078,-0.06070335105773634,-0.00046343851648654314,1.286121672409987,130,26
PCG,2004-12-31,PG&E CORP,Robert D. Glynn Jr.,3,2004,-0.00981822481191135,-0.03827144681412699,0.0510725847079635,0.02865810695392373,0.0010130709055211132,0.47811908470388065,130,26
TSN,2005-01-31,HILLSHIRE BRANDS CO,C. Steven McMillan,3,2005,-0.06005264626004097,-0.07092598231255505,0.04088019981306698,-0.003517964640361821,-0.0014812343389384245,1.3394478342435052,130,26
HPQ,2005-02-08,HP INC,Carleton S. Fiorina,3,2005,0.06093135600710734,0.03043188072886201,-0.047929827503293984,0.03049123292060299,-0.00012827713245417295,1.3250598974231813,130,26
BA,2005-03-06,BOEING CO,Harry C. Stonecipher,4,2005,0.003980974027355976,0.00452186284451547,0.04127609258283731,0.09796398465623668,-0.00035619491209896634,1.1099953265802007,130,26
GATX,2005-04-22,GATX CORP,Ronald H. Zech,3,2005,0.009377251594138478,-0.03344734784238775,-0.06541212548978101,-0.012433927455926792,0.0012197559841933886,1.1938895997814711,130,26
MRK,2005-05-04,MERCK & CO,Raymond V. Gilmartin,3,2005,-0.008883704701414561,-0.022188482979227125,-0.03424092424428326,-0.01595776325785511,-0.001998503362255404,0.8587218708647865,130,26
MS,2005-06-30,MORGAN STANLEY,Philip J. Purcell,3,2005,0.0035666116812079485,-0.015657645064024204,-0.036345044752680064,0.03891970936707484,-0.0002745641459962153,1.3684136379491563,130,26
RRGB,2005-08-11,RED ROBIN GOURMET BURGERS,Michael J. Snyder,4,2005,-0.22929948404342412,-0.269722398993023,-0.002676308748573185,-0.22286645091615911,0.0012668770121233852,1.1052434448256394,130,26
NWL,2005-10-16,NEWELL BRANDS INC,Joseph Galli Jr.,3,2005,0.042996006746569455,0.03742415973292204,-0.03813585942073163,-0.011888521698281836,0.0004986611434274118,0.9951226936771347,130,26
UNP,2005-12-31,UNION PACIFIC CORP,Richard K. Davidson,3,2005,-0.02747619660832623,-0.04661731369166059,0.08137741179597098,0.08522859682347582,0.0009010419970469307,0.8792602301207709,130,26
SRE,2005-12-31,SEMPRA ENERGY,Stephen L. Baum,3,2005,-0.00021162527592000907,0.00621637454260484,0.035584714739104205,0.02041018612706016,0.000717085308129229,1.0553960761016525,130,26
NKE,2006-01-20,NIKE INC -CL B,William D. Perez,3,2006,0.004087693581194622,-0.016449377361857677,0.0016976051547245956,-0.017539910816713817,-0.00020556753753214096,0.8136730328438879,130,26
WEN,2006-04-17,WENDY'S INTERNATIONAL INC,John T. Schuessler,3,2006,-0.0143230906919128,-0.029791078530873795,-0.028867688663213247,-0.05455019909261971,0.0005041327883137548,0.9175468520257973,130,26
CMVT,2006-05-01,COMVERSE TECHNOLOGY INC,Kobi Alexander,4,2006,0.06327086804295459,0.012269347121517983,-0.012247903997321802,0.05037612250382642,-0.0008190490544614341,0.789779419115532,130,26
CLX,2006-05-01,CLOROX CO/DE,Gerald E. Johnston,3,2006,-0.042378293160930926,-0.03599522799442433,0.027396496350440194,0.02001540386314419,0.0005905610834782201,0.4720341031184027,130,26
MTH,2006-05-18,MERITAGE HOMES CORP,John R. Landon,3,2006,-0.08046716313692043,-0.055791577888480964,-0.07177874776000356,-0.15860491198647392,-0.0013902693346274505,1.927949277798362,130,26
KMX,2006-06-21,CARMAX INC,W. Austin Ligon,3,2006,0.02331657958576419,0.018231356528716148,-0.06452592807077627,0.07491070276599422,0.001036646256344663,1.2910615130573702,130,26
MDLZ,2006-06-27,MONDELEZ INTERNATIONAL INC,Roger K. Deromedi,3,2006,-0.013807638893140628,-0.010513667496267736,0.027788856207497124,0.008942249597960153,0.0010040785152689194,0.5489128835593957,130,26
PFE,2006-07-31,PFIZER INC,Henry A. McKinnell,3,2006,-0.017924209887384374,0.0010079816801450503,0.06515936637215937,0.1086396423615625,-0.0001299152408667379,1.039733323722188,130,26
BMY,2006-09-12,BRISTOL-MYERS SQUIBB CO,Peter R. Dolan,4,2006,0.0429514862615178,0.04464559946665449,-0.01593445709858527,0.057714359556890034,-0.0004913807418156984,1.0257209662777522,130,26
KBH,2006-11-01,KB HOME,Bruce Karatz,4,2006,0.0013498726212069715,-0.03624912040034267,0.18406428005903558,0.21599688646827286,-0.003403183361615604,2.2749810511009243,130,26
UNH,2006-11-29,UNITEDHEALTH GROUP INC,William W. McGuire,4,2006,0.02753267683850169,0.024681632893861195,0.08538757048710927,0.1308114965317183,-8.825267325856471e-05,0.587577896797847,130,26
HD,2007-01-02,HOME DEPOT INC,Robert L. Nardelli,3,2007,0.0003941647647739098,-0.0016089062297664145,0.01722486175407102,0.05311806622208112,-0.0007575714115523981,1.1333807565413574,130,26
AAP,2007-04-01,ADVANCE AUTO PARTS INC,Michael N. Coppola,3,2007,-0.014383987300856335,0.0050203179907040195,0.004506226198461409,-0.024806283084224952,0.0011311097627767167,1.051307934986497,130,26
FITB,2007-04-17,FIFTH THIRD BANCORP,George A. Schaefer Jr.,3,2007,0.017164357992631583,0.007667788755502827,0.002918510839964852,0.03284949175089196,-0.00024122807354780697,0.9820019966276798,130,26
MDT,2007-08-23,MEDTRONIC PLC,Arthur D. Collins Jr.,3,2007,0.02049386155050403,0.005266902715997876,0.03753655855568294,0.03497324063669026,-0.0006062671335717641,0.6443575042893226,130,26
C,2007-11-04,CITIGROUP INC,Charles Prince III,3,2007,-0.08688682705701462,-0.04648267599489521,0.011815404584645372,-0.15476336554320777,-0.0010949016818575454,1.2919073712707496,130,26
HSY,2007-11-30,HERSHEY CO,Richard H. Lenny,3,2007,0.006849060865960769,0.0004885490628369271,0.020763223572871636,0.046676385918277094,-0.0019007418281135377,0.867519191699547,130,26
FSS,2007-12-11,FEDERAL SIGNAL CORP,Robert D. Welding,3,2007,-0.0529093431606885,-0.03592571121808852,-0.04932246381181027,-0.025730234765065765,-0.0011338355170216767,1.1252630615009227,130,26
TWX,2007-12-31,TIME WARNER INC,Richard D. Parsons Esq. J.D.,3,2007,0.003231665325122585,0.004118064275077368,0.021899009037142297,0.0384353835337465,-0.0013011857151388549,0.8739690382102753,130,26
SBUX,2008-01-07,STARBUCKS CORP,James L. Donald,3,2008,0.08144372654984874,0.08846470698613976,0.025845124408852897,0.030086558475121424,-0.001672350471337765,0.7552087063780765,130,26
MBI,2008-02-16,MBIA INC,Gary C. Dunton,3,2008,-0.02625475533094085,0.17722019607252176,0.18169058115411155,0.07761543235943333,-0.007691614612491146,1.947114628383642,130,26
TLAB,2008-03-01,TELLABS INC,Krish A. Prabhu Ph.D.,3,2008,-0.021028612327078578,-0.043222727996841015,-0.05671392393249912,-0.0733864563954593,-0.003484529376416333,1.0040258935662258,130,26
WY,2008-04-17,WEYERHAEUSER CO,Steven R. Rogel,3,2008,-0.016008105858658465,-0.02264826560284014,0.016245397957057723,-0.013881421550331622,0.0008406428667596151,1.2352903621972118,130,26
TGT,2008-05-01,TARGET CORP,Robert J. Ulrich,3,2008,-0.014951047728031302,-0.023941079104964753,0.01151326468893462,0.00676656899177722,3.2550481739574994e-05,1.029239208313488,130,26
AMD,2008-07-17,ADVANCED MICRO DEVICES,Hector de Jesus Ruiz,3,2008,-0.10632348574997966,-0.14441658944333186,0.10509080155562517,-0.0020114675906249824,0.0005015827837584234,1.4206216769952154,130,26
MGM,2008-11-30,MGM RESORTS INTERNATIONAL,J. Terrence Lanni,4,2008,-0.033275392897449206,-0.054092062577141095,0.1957657364641817,0.267237659284016,-0.0033051989184114793,1.3348008792691797,130,26
PLD,2008-12-08,PROLOGIS INC,Jeffrey Howard Schwartz,3,2008,0.10883912995895174,0.036641439161910115,0.25123306204184154,0.568051527495881,-0.0020707550934213614,1.4067905946761583,130,26
MAA,2008-12-30,COLONIAL PROPERTIES TRUST,C. Reynolds Thompson III,3,2008,-0.04825188002208398,-0.08238081869884044,-0.010535022933584805,-0.1594520502429219,0.0020015461043744066,1.2503011133568873,130,26
DAN,2009-01-01,DANA INC,Gary L. Convis,4,2009,0.37351451259704677,0.3959232813357477,0.2373320425863359,0.6722694330201092,-0.009406282442478417,1.5630769870842713,130,26
MDXG,2009-02-24,MIMEDX GROUP INC,Thomas W. D'Alonzo,3,2009,-0.09688148011817002,-0.10370919311985176,-0.5586440362888654,-0.31370696618737465,0.0016454269512776905,0.3483418728769767,130,26
SVU,2009-05-25,SUPERVALU INC,Jeffrey Noddle,3,2009,0.006959569192114285,0.0448040155789846,-0.03244271586671706,-0.01469865776101649,0.0012763141028487063,0.8553730937005537,130,26
BSX,2009-07-13,BOSTON SCIENTIFIC CORP,James R. Tobin,3,2009,-0.006550587513280203,-0.01912553455053842,-0.010893407386303004,-0.03287638108350582,0.002082413835948562,0.9439388680230125,130,26
BAC,2009-12-31,BANK OF AMERICA CORP,Kenneth D. Lewis,4,2009,0.057358719366797206,0.07962458463173414,0.016620957607723762,0.04243660839984372,0.0004428580954828846,1.6451518099583435,130,26
HPQ,2010-01-01,HP INC,Mark Vincent Hurd,4,2010,-0.016725490223876212,-0.029052962011031625,-0.08459358175633346,-0.10622962514210291,0.00147180848069495,0.8700962688825699,130,26
NDSN,2010-01-16,NORDSON CORP,Edward P. Campbell,3,2010,0.0013277111723638858,-0.0033449697451592396,-0.020431286000490163,-0.040636766860984136,0.0008143699822826698,1.5070683131806248,130,26
BBT,2010-01-27,NATIONAL PENN BANCSHARES INC,Glenn E. Moyer,3,2010,-0.07372353518980941,-0.07840960344764,0.12234445912413827,0.06779093517442744,-0.0016590803242882242,0.8364984328547094,130,26
CROX,2010-03-01,CROCS INC,John H. Duerden,4,2010,-0.010494171569454959,-0.0169381869536208,-0.0697363980978355,-0.19389112296671904,0.004886633370254082,2.613980725472982,130,26
RF,2010-03-31,REGIONS FINANCIAL CORP,C. Dowd Ritter,3,2010,0.0523810771490431,0.10280790782715755,0.02623953711359172,0.06366530883339754,0.00044469349503828653,1.6846244012442195,130,26
